project,title,description,story_points
XD,"""Add http port command line option to AdminMain""","""""""Currently StreamServer has setPort, but no way for end user to set it. """"""",2
XD,"""If output directory does not exist for a file sink, by default allow it to be created""","""""""There shouldn't be a need to do a mkdir -p before sending data to a file sink.""""""",1
XD,"""Create or document existing project template for custom module creation""","""""""The wiki docs on creating custom modules have entire build.gradle files in them. Would be good to explore existing STS templates, maven archetypes, etc or create new ones for authoring custom modules.""""""",3
XD,"""Provide configurable properties for hdfs sink.""","""""""The config file modules/sink/hdfs.xml has a hardcoded value to locate the namenode.   <hdp:configuration register-url-handler=""""""""false"""""""">   fs.default.name=hdfs://localhost:9000  </hdp:configuration>  the fs.default.name proprety should be configurable and we should also support loading an external configuration file using      <hdp:configuration properties-location=""""""""${xd.home}/config/hadoop.properties"""""""">     </hdp:configuration>  """"""",2
XD,"""XD AdminMain & ContainerMain should check xd.home property from scripts""","""""""Currently, the system property xd.home is set as JVM_OPTS (via SPRING_XD_ADMIN_OPTS) into xd-admin & xd-container scripts.  Inside the ContainerMain & AdminMain, we need to check if this system property is set and use it. It seems like, this check is missing now.""""""",1
XD,"""Processor modules should support scripts in languages other than groovy""","""""""Filter, Transform, and Script modules all assume the provided script is written in Groovy.   This is partly due to the fact that the """"""""lang"""""""" attribute of <int-script:script> can't be set to a property value (i.e. lang=""""""""${lang:groovy}""""""""), which would allow users to pass in the expected language. Or perhaps we could use a SPEL expression or script to pick the language based on the file extension?""""""",3
XD,"""Document processor modules""","""""""Fill in https://github.com/SpringSource/spring-xd/wiki/Processors""""""",2
XD,"""Provided modules should be integration tested""","""""""I don't see that we have automated tests for the modules we provide out-of-the-box.  We could make the modules folder an Eclipse project (which would also help solve XD-198) and add some integration tests similar to those documented here:  https://github.com/SpringSource/spring-xd/wiki/Creating-Custom-Modules""""""",5
XD,"""Fix XD scripts on windows""","""""""Currently the XD scripts are broken in windows. """"""",2
XD,"""Ensure the DELETE Operation can Delete a Tap""","""""""While deleting a stream doesn't remove any taps right now, we should be able to explicitly delete a tap.  Determine whether the current DELETE works and, if not, make it so.""""""",3
XD,"""Documentation for developing streams in the IDE needs to mention including scripts dir to project classpath""","""""""{{curl -X POST -d """"""""time --interval=3 | transform | log"""""""" http://localhost:8080/streams/test}}  results in the following stack trace in the DEBUG log. It's apparently benign, but ugly...    """"""",1
XD,"""The {{time}} Source Should Emit String by Default""","""""""When running in local mode (no Redis) {{time | tcp}} no longer works.  Change the {{time}} source to emit the date as a String, while allowing an option to emit a {{Date}} object.""""""",1
XD,"""Users should be able to package custom modules into a single jar""","""""""If a user needs to deploy a module containing custom code, they have to build a jar for the lib dir and somehow deploy the app context file separately to a modules dir.  This is a bit inconvenient to build from a project, since context files in src/main/resources typically get built into a jar.  Might be better to accept both jar and xml files in the modules dir, though that brings up the issue of classpath isolation.""""""",5
XD,"""Need more unique resource locations for XD internal configuration""","""""""Currently internal config files are in META-INF/spring with fairly generic names. To avoid potential collisions if users add their own configuration in the classpath, we should have a more unique location, e.g. META-INF/spring/xd""""""",3
XD,"""Update getting started documentation to use xd-singlenode start script.""","""""""With the new option of starting without requiring redis, the getting started documentation should reflect this easier way to start processing data.""""""",2
XD,"""Move Redis connection metadata logging into the code closest to establishing that connection""","""""""XD-106 included detailed logging about the Redis metadata within the RedisContainerListener, but it seems as though that info could be logged somewhere closer to the establishment of a Redis connection for the XD runtime (and could be logged even if this listener, whose main role is to capture Container-related events, is not enabled).""""""",2
XD,"""Cleanup embedded container story""","""""""The --embeddedX options are a bit confusing in code right now, as the Admin can embed the Container and vice-versa. I guess we should only keep the Admin>Container side of things.""""""",1
XD,"""Add  directory to classpath in server startup scripts so groovy based processors can be easily referenced by name without a resource uri prefix""","""""""a stream such as time | filter --script=oddMinuteFilter.groovy | file   would load the groovy script 'oddMinuteFilter.groovy' that is located in the directory modules/processor or perhaps in modules/processor/scripts.  Not sure the benefit of having a subdirectory below processor just for scripts.""""""",1
XD,"""Create XD script for xd-single node""","""""""This script will launch XD admin along with the module container.  As part of this implementation, we will also remove the embedded options for XD admin & container scripts.""""""",2
XD,"""Create a pipe protocol independent StreamDeployer""","""""""Create StreamDeployer that does not depend on an adapter implementation""""""",2
XD,"""Refactor StreamServer to an interface and create Redis and Local implementations""","""""""The current StreamServer depends on RedisStreamDeployer. Call this RedisStreamServer and extract interface to allow alternate implementations""""""",2
XD,"""Create redisProtocol.xml that will load all the Redis specific implementations to suppor the XD container runtime and administration""","""""""The redis specific beans that are defined in the current launcher.xml should move into this configuration file.   """"""",3
XD,"""Update launcher.xml to have protocol independent beans defined and an import statement to load protocol specific defintiions from a system property defined location.""","""""""launcher.xml can make use of the system property xd.pipeProtocol inside an import statement.  This determines which version of the XD infrastructure to load, for example what ChannelRegistry implementation, Local or Redis based, or specific message listener containers.   File name conventions should be used, so if the option passed in from the command line is --pipeProtocol localChannel  then the XML filename looked for has the 'Protocol' suffix applied, e.g. localChannelProtocol, and is loaded via the classpath.  Redis and Local will not be the only options, other implementations will be provided in the future, e.g. Rabbit, and the user may be able to provide their own implementations of these infrastructure classes (an advanced task).  """"""",3
XD,"""The command line for xd-admin and xd-container to support an additional option, pipeProtocol, that is used to determine the middleware for sending admin requests and data between processing steps""","""""""The name 'pipeProtocol' is tentative.    1. The command line scripts for xd-admin and xd-container would support a --pipeProtocol option, with the default being to use Redis.  (Otherwise use xd-singlenode). 2. The xd-admin and xd-container scripts will use the value of pipeProtocol to set the java system property xd.pipeProtocol when launching the app. """"""",1
XD,"""Have three startup scripts, xd-singlenode, xd-admin, and xd-container""","""""""The xd-singlenode script will launch a main application that creates both the admin node (to process http admin requests) and the container node (to execute modules for data processing) within in the same process   the xd-admin script will launch a main application that creates only the admin node (remove current embeddedContainer options)  the xd-container script will launch a main application that creates only the container node (as it is now)""""""",1
XD,"""DefaultContainer should have a default constructor that generates a UUID""","""""""The current incrementAndGet approach based off redis will not easily be applicable in local model deployment""""""",1
XD,"""Support exponential moving average in RichGauge ""","""""""This could easily be supported in the existing gauge by adding a setAlpha method to RichGaugeService and adding the extra parameter """"""""alpha"""""""" to the gauge data (https://en.wikipedia.org/wiki/Exponential_moving_average). If not set it would default to the current behaviour (simple mean), otherwise it would calculate the exponential moving average in place of the mean.""""""",2
XD,"""Create and document a syslog aggregation example""","""""""2-3 containers (separate processes) that the stream: syslog | tcp  1 container (separate process) that aggregates the data sent from those conainers, tcp | severityFilter | hdfs       """"""",8
XD,"""Home wiki page improvements""","""""""Add more structure, more easily find the reference guide.  The style that is here  https://github.com/snowplow/snowplow/wiki is nice. """"""",2
XD,"""XD should run offline""","""""""Trying to run XD offline results in an error in redis.xml because the cloudfoundry schema file is missing.  We need to add the cf-runtime jar to the classpath to resolve this.""""""",2
XD,"""Create config support based on channel registry type""","""""""We need to have the XD container & admin reading the registry specific property based on the registry type selected.   From Mark F, on one of the code review comments:  Maybe rather than having redis, rabbit, etc. properties all within a container.properties we should rely upon naming conventions instead. Specifically, we could have a single configurable property for the type of channel registry (""""""""redis"""""""", """"""""rabbit"""""""", or """"""""local"""""""" being possible values), and then we could use something like:  <import resource=""""""""config/${registry.type}.xml""""""""/>  <context:property-placeholder location=""""""""config/${registry.type}.properties""""""""/>""""""",3
XD,"""xd-container and xd-admin should log to a file out of the box""","""""""We should have an externally editable log4j config file in a conf dir and the default should log to a file (presumably in a logs dir)""""""",2
XD,"""Validate processing modules declare the required channels""","""""""Validate that modules have required channels declared according to their type.  Currently the stream deployer accepts processors with no input, but the stream doesn't complete. We should fail earlier and more loudly.""""""",2
XD,"""Create design document for implementation strategy to support message conversion in ChannelRegistry""","""""""The conversion should be based on content-type headers, similar to the way Spring's HttpMessageConverters work (with mime types).  Also, the map of available converters should be extensible while including the most common defaults (for JSON, XML, etc). We most likely want to add a few of our own content types also (e.g. for Tuples).  Most likely, this logic and the configuration methods for extending the converter map, belong in AbstractChannelRegistry since it should be common across all implementations (i.e. the logic should be the same regardless of the transport used after-serialization/before-deserialization).""""""",5
XD,"""Publish golo themed docs documentation to static.springsource.org as part of nightly build""","""""""The wiki repo contains a script, gen-docs.sh, that we are planning to use to generate a pretty HTML version of the Getting Started guide.   We should consider using maven (or gradle, but there is currently an issue documented in build.gradle) to generate this and other reference docs and publish them automatically as part of a nightly build.""""""",3
XD,"""Parameter parsing does not work if an argument contains '--'.""","""""""Parameter parsing does not work if an argument contains '--'.  For example:    Also, I was surprised that this worked..    ... but this didn't...    I think we need to tokenize the argument (with ' if contains spaces) and remove any surrounding '...' from the result. This means if someone wants a SpEL literal they would have to use something like     resulting in a SpEL literal 'Hello, world!'""""""",1
XD,"""Create config support for Redis""","""""""We would like to have Redis driven from a config property file under XD_HOME.""""""",2
XD,"""Add a groovy script processor module""","""""""A processor module that accepts either the location of a groovy script resource or an inline script (string). Also some discussion about a default classpath location for scripts. """"""",5
XD,"""Provided console output of started server""","""""""Shouldn't we have something like a ContextRefreshedEvent Listener and output some informational messages to the console, so the user knows the Container is up (Which contexts. Maybe even print a link to the docs))? Maybe even some simple ascii art (for demos)? Right now it looks somewhat barren.  Redis provides something similar.  This may even go hand in hand to provided a better configuration model (storing common config parameters centrally)   """"""",2
XD,"""create a gauge module""","""""""Spring config for simple gauge plus message handler to process message. There is some code common to RichGaugeHandler to coerce the payload to a double that should be refactored for reuse.""""""",5
XD,"""Create rich gauge module""","""""""Spring config for rich gauge plus message handler to coerce a numeric or string payload to a double.""""""",5
XD,"""Add Redis binaries for Windows""","""""""Presently, Spring XD does not ship Windows binaries for Redis. However, Microsoft is actively working [1] on supporting Redis on Windows. You can download Windows Redis binaries from:  https://github.com/MSOpenTech/redis/tree/2.6/bin/release   [1] http://blogs.msdn.com/b/interoperability/archive/2013/04/22/redis-on-windows-stable-and-reliable.aspx""""""",2
XD,"""Publish Spring XD final distribution zip as part of Bamboo artifactory plugin""","""""""Currently, Bamboo's gradle artifactory plugin has the artifacts configured to projects target(build) directory 'archives'. We need to have a way to set the final distribution archive as one of the gradle 'configurations' in our build.gradle and refer it inside bamboo artifacts.""""""",2
XD,"""Improve User Experience when Redis is not running""","""""""Redis is not running we get a nasty stacktrace:    I think it would be helpful to provide users with some helpful advice e.g.:  Redis does not seem to be running at 'localhost/127.0.0.1:6379'. Did you start or install Redis? Please see for further help http://foo/bar   """"""",2
XD,"""Remove use of application plugin for redis project""","""""""Currently redis project uses application plugin to bundle distribution. This also includes 'java plugin' which causes java specific build behavior on this project. We should try removing the use of application plugin and use something similar or custom tasks that does the bundling. """"""",2
XD,"""Create externalized property file to support connectivity to redis""","""""""We need to have an externalized property file(under xd/conf/) for the xd-container & admin scripts to use as options. """"""",3
XD,"""StreamServer Context Lifecycle Issues""","""""""The {{ModuleDeployer}} calls {{getBeansOfType}} before the context has had its {{PropertySourcesPlaceholderConfigurer}} attached. This can cause issues with {{FactoryBean}} s with placeholders in constructor args because the unresolved placeholder is used when the {{FactoryBean}} is pre-instantiated to determine the type of object it will serve up.""""""",8
XD,"""install-redis script should not use relative path to determine redis source dist""","""""""Currently, the install-redis script uses relative path to determine redis source  dist file. Since this is error prone, we need to fix it.""""""",1
XD,"""Parameterize syslog Source; Add Support for TCP""","""""""The syslog source currently is hard-coded to use udp on port 11111.  Need to parameterize the port and provide an option to use TCP.""""""",2
XD,"""Update README.txt to include instructions on how to build""","""""""Building XD should not be part of the out first out of the box experience, but we should include some instructions on what targets are available, such as distXD.""""""",2
XD,"""Documentation that points on how to install hadoop""","""""""Pointers to other documentation on how to install hadoop. """"""",3
XD,"""Investigate link checking tool for user guide""","""""""Asciidoc/doctor might have one as part of it toolchain""""""",2
XD,"""Fail Sonar CI build if there are any package tangles violated.""","""""""Similar to what would show up on structure101 reports.""""""",1
XD,"""Profile support for modules""","""""""To allow for groups of beans to be defined or not in the container that runs a module.  When deploying a stream (e.g. via the REST API), it should be possible to also provide profile names. Then those would apply to any modules within that particular stream deployment.""""""",8
XD,"""Create TCP sink module""","""""""Based off SI tcp inbound adapter.  This will allow for event fowarding.""""""",3
XD,"""Create TCP source module""","""""""Based off SI tcp inbound adapter.  This will allow for event forwarding that can select among the existing SI serialized/deserializer options. """"""",3
XD,"""Documentation for sources, sinks, modules should define which attributes are required and which optional""","""""""This will eventually be supplied by the admin server, but for now write it up by hand in the documentation""""""",2
XD,"""Clean shutdown of redis in xd-container""","""""""Need to shutdown cleanly, no exception messages are shown.  Order of components in the stream should be shut down from 'first to last'  (opposite of creation)""""""",2
XD,"""XD scripts lib path needs to be dynamic""","""""""We currently have the manually created XD scripts. This makes it difficult to maintain as the lib path is error prone with the changes. We need to make sure that the properties such as lib path etc., are dynamically updated.""""""",3
XD,"""XD scripts need to have spring-integration milestone versions updated""","""""""Spring-integration version is changed to 3.0.0.M2 and since we manually create the XD scripts, they still point to the 3.0.0.BUILD-SNAPSHOT version.  As discussed, we also need to have a better strategy on updating the lib directory inside the XD scripts.""""""",2
XD,"""HDFS sink should default to hdfs://localhost:8020""","""""""The current default is hdfs://localhost:9000 but most new distributions/installs use 8020""""""",1
XD,"""replace testsource with time and testsink with log""","""""""This should facilitate testing while avoiding any class dependencies. Also, log is a generally useful sink by itself and time is a more interesting source for testing (should accept --interval for the seconds between time messages).""""""",1
XD,"""add spring-integration-groovy to container dependencies""","""""""This will enable the use of groovy scripts within modules.""""""",1
XD,"""add SpEL 'filter' processor""","""""""It should provide an 'expression' param for SpEL and have a default value of true (accept everything).""""""",1
XD,"""add SpEL 'transform' processor""","""""""It should provide an 'expression' param for SpEL and have a default pass-thru of the payload.""""""",1
XD,"""Add install script for Redis""","""""""This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz  The install script does the following:  - Check the platform OS & arch - unzip the tar, compile the sources""""""",2
XD,"""Create final distribution zip across multiple projects""","""""""The final directory structure should look like  <install-dir>/xd <install-dir>/redis <install-dir>/gemfire  inside the XD directory   /xd/bin - which has xd-container and xd-admin scripts /xd/lib  inside the gemfire directory /gemfire/bin - has the gemfire-server script /gemfire/lib   inside the redis directory is   /redis/redis-latest-v.x.y.z.tar /redis/README /readis/install-redis  - script that does the basic 4 commands to install redis.   There should be a gradle task that runs after the distZip task, that will take the contents of different project directories, script diretories and 'redis-binary' directories and creates the final layout for the distribution.""""""",5
XD,"""Remove use of system property xd.home to define location for install location, rely on environment variable XD_HOME""","""""""This is in the AdminMain and ContainerMain.    Can get the environment property directly in java code unless provided explicitly on the command line using --xdHomeDir.""""""",1
XD,"""Build script should not package 'spring-xd-dirt' scripts ""","""""""We are packaging separate scripts to start XDAdmin and XDContainer.  The Gradle application plugin will generate an unwanted 'spring-xd-dirt' scripts, this should be removed from the bin directory when creating a distribution zip.""""""",1
XD,"""Clean shutdown of redis in xd-admin""","""""""A ctrl-c of xd-admin results in exception messages about disconnecting from redis.  14:16:07,327 ERROR task-scheduler-1 handler.LoggingHandler:136 - org.springframework.data.redis.RedisSystemException: Redis command interrupted; nested exception is com.lambdaworks.redis.RedisCommandInterruptedException: Command interrupted """"""",2
XD,"""Container server does not log a message that it has started or stopped successfully""","""""""$ ./xd-container  processing module 'Module [name=file, type=sink]' from group 'tailtest' with index: 1 processing module 'Module [name=tail, type=source]' from group 'tailtest' with index: 0   Logging of 'processing module' should have log level, time..""""""",1
XD,"""Add LICENSE to be included in root directory of distribution""","""""""should contain apache licence""""""",1
XD,"""Add README to be included in root directory of distribution""","""""""should explain basic layout of the distribution""""""",1
XD,"""Create XDAdmin server to start container launcher""","""""""This will launch the RedisContainerLauncher, in future will be able to select from a variety of middleware options.""""""",1
XD,"""Create XDContainer class to start stream server""","""""""Provide optional command line arg to embed the container launcher, aka - xd-admin server.    XDContainer.sh --embeddAdmin""""""",1
XD,"""Rename Tuple class in spring-xd-tuple""","""""""The Tuple classes in Reactor follow the more traditional data structure concept of Tuples, an immutable fixed length sequence of values where each value can have different types.  They are ordered and can often be access by index.  An example in a static language is the Tuple class found in .NET http://msdn.microsoft.com/en-us/library/system.tuple.aspx or in Scala http://www.tutorialspoint.com/scala/scala_tuples.htm  Using this standard definition of a Tuple, they do not support named values.  There is also a different tuple class instance for each length, e.g. Tuple<T1,T2>, Tuple<T1,T2,T3>.  The Tuple class in XD is more like a record or named tuple.   Python has a named tuple concept - http://docs.python.org/2/library/collections.html#collections.namedtuple  and http://stackoverflow.com/questions/1490413/languages-that-allow-named-tuples shows that other languages use the term 'Record' for a 'named tuple' - Haskell, Standard ML, OCaml, and F#.  http://en.wikibooks.org/wiki/F_Sharp_Programming/Tuples_and_Records#Defining_Records  So boiling it all down, to avoid conflicts of names, and also to open up the possibility of using Reactor tuples as keys (instead of strings for names), we should change the name to either NamedTuple or Record.  ATM, there is no direct relationship between Reactor's Tuple and NamedTuple (such as inheritance) and so probably Record is the way to go.   """"""",2
XD,"""Sonar build is failing""","""""""https://build.springsource.org/browse/XD-SONAR-34  Caused by: java.lang.ClassNotFoundException: org.sonar.api.Plugin         at org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy.loadClass(SelfFirstStrategy.java:50)         at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:244)         at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:230)         ... 94 more""""""",1
XD,"""Documentation on the module system and how to contribute new modules""","""""""For people who are familiar with Spring/Spring Integration provide documents that show how to add additional input sources/sinks.""""""",3
XD,"""The ability to route within streams""","""""""A Flow or a processor component may require routing semantics. Currently the stream assumes a single input and output for each module. A Flow may support multiple outputs - Switch routing that is - Recipient list is not currently supported (another subtask?). We need to support semantics like:  a |[output.foo:c,output.bar:d,default:e]""""""",8
XD,"""The ability to import beans referenced in the main context into a module""","""""""This should be a core feature of any Spring based module. The plugin should be able to import explicitly referenced beans. This minimizes potential side effects of making the module a child context and is simpler than declaring a shared context (parent) of the application and the module. Provide namespace support for flow:""""""",3
XD,"""The ability to override default module path for the plugin or an individual flow""","""""""Currently modules are assumed to be in classpath:/META-INF/spring/integration/module/${flow}.xml. To reuse modules defined with DIRT  may require more flexibility.  e.g.,   <int-flow:flow root-path=""""""""file:///dirt/module""""""""/>""""""",3
XD,"""Document The ability to use flows in streams""","""""""Test and document e.g. """"""""http | flow1 | flow2 | file""""""""""""""",3
XD,"""Normalize and refactor component packaging decomposition""","""""""Normalize and refactor as needed functionality currently included in   - spring-integration-core (LocalChannelRegistry)  - spring-integration-module (Module types upon which Flow are built)  - xd-module (Depend Module types common to DIRT and Spring Integration)  - spring-integration-flow (Flow specific types, namespace support, etc)""""""",5
XD,"""Documentation for field value taps""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for rich gauge taps""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for gauge taps""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for counter taps""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation that introduces taps""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"twittersearch | file"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"gemfirecq | file"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"http | gemfire"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"tail | hdfs"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",1
XD,"""Documentation for """"tail | file"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"syslog | file"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",3
XD,"""Documentation for """"http | hdfs"""" processing""","""""""Put on the guide as a section in an 'input-stream' wiki page.   """"""",1
XD,"""End user guide for data streams""","""""""Put on the guide as a section in an 'streams' wiki page.  End user focused, no need to mention spring underpinning, impl details.  """"""",5
XD,"""Documentation for """"http | file"""" processing""","""""""Put on the guide as a section in an 'input sources' wiki page.  https://github.com/springsource/spring-xd/wiki/GuideGettingStarted  """"""",1
XD,"""Add redis bundle to distribution zip file""","""""""for linux and mac""""""",5
XD,"""add test to start/stop stream server""","""""""in additional to existing tests that check for redis connection, we need to add tests that start/stop stream server. """"""",2
XD,"""Provide a http source""","""""""stream should be able to ingest data from http """"""",5
XD,"""Remove UUID from Tuple class or replace with more efficient implementation""","""""""The Java UUID class is known not to be the fasted implementation available.   See https://github.com/stephenc/eaio-uuid and http://mvnrepository.com/artifact/com.eaio.uuid/uuid for high perf impls.  """"""",1
XD,"""Create general structure for AsciiDoc based wiki and Spring XD guide.""","""""""Adopt Asciidoc as the markdown syntax, useful for generating pdf and more feature rich than standard github flavored markdown.  Loosely following the conventions of https://community.jboss.org/wiki/TheHolyGrailAsciiDocOnGitHubToDocBookTrain that have generate docbook/pdf docs from the Asciidoc wiki.  The asciidoctor project is a key element in the adoption of AsciiDoc for use as the format in github, it is the rendering engine used by github for AsciiDoc.  See http://asciidoctor.org/docs/asciidoc-writers-guide/ for guidance.  """"""",2
XD,"""Export of data from HDFS to MongoDB""","""""""Based on a single process Spring Batch job, ETL of data from HDFS to MongoDB.""""""",5
XD,"""Export of data from HDFS to a relational database""","""""""Based on a single process running a Spring Batch job, support the ETL of data from HDFS to a RDBMS""""""",8
XD,"""Submit a brew-based install for Spring XD""","""""""- Host the Spring XD distributable zip somewhere that is accessible by external http request. - Create brew formula for Spring XD install while specifying redis as dependency.  - starting up stream server upon successful brew install  couple of questions: - should we name the brew task springxd? (name not taken yet) - should we start the stream server as part of the brew install process? - should we specify redis as a recommended dependency? user can pass in 'brew install springxd --without-redis' to skip redis installation. by default, 'brew install springxd' will install redis as well.""""""",8
XD,"""Gauge and Counter hash and equals should not depend on values""","""""""The value is mutable so this causes problems if storing metrics in a HashSet, for example.""""""",1
XD,"""Gemfire Sink to update a gemfire cache.""","""""""Update a gemfire region.""""""",2
XD,"""Use the tuple data structure to process data in a spring batch step ""","""""""Do not require a POJO in order to do end-to-end processing in a batch step.""""""",5
XD,"""Create distributable artifact that contains server application and start/stop scripts""","""""""The gradle application task should get us most of the way to create a distributable artifact akin to what you see when downloading tomcat/jetty etc.  Now there is a launch task  task(launch, dependsOn: 'classes', type: JavaExec) {   main = 'org.springframework.xd.dirt.stream.StreamServer'   classpath = sourceSets.test.runtimeClasspath  }   The same main should be referenced in the application plugin, a task to create a .zip distributable is needed.  Ideally would be nice to  1. download .zip 2. unzip 3. cd spring-xd/bin 4. xdserver start   and gracefully shutdown later with   5. xdserver stop  I don't know if we can/should bundle redis, I think we should bundle it.  The scripts can be for unix/linux and for windows.    Discuss a brew based install as well. """"""",8
XD,"""Saving a metric (Counter, Gauge..) with an existing name should throw an exception""","""""""The difference between saving a new metric and updating an existing one needs to be defined.  Suggest that if we try to save when an existing counter is already in the database to throw exception, such as DataIntegrityViolationException.""""""",1
XD,"""Tuple should support storing nested tuples""","""""""Nested tuple structures shoudl be supported,  getTuple(int index), getTuple(String name)""""""",1
XD,"""build.gradle doesn't handle a small handful of libraries""","""""""Trying to build spring-xd for the first resulted in lots of errors inside STS (I had an empty .m2 repo).""""""",1
XD,"""Switch to use Lettuce driver for Redis""","""""""Replace the use of Jedis with Lettuce as it has higher performance""""""",2
XD,"""SI ServiceActivator for an XD Metrics backed Field Value Counter""","""""""A Spring Integration based @ServiceActivator that counts the occurrence of field names, from either a tuple data structure or a POJO, using the Spring XD metrics support.""""""",3
XD,"""XD Metrics backed Message Counter""","""""""A Spring Integration based @ServiceActivator that counts the number of messages using the Spring XD metrics support""""""",1
XD,"""Design and document desired high level DSL for configuring data processing in XD""","""""""Start to explore how the DSL can cover both advanced (non-linear) spring integration flows as well as spring batch jobs.""""""",13
XD,"""Add tap support to DIRT""","""""""syntax:   """"""",2
XD,"""Move Redis Queue Channel Adapters into spring-integration-redis""","""""""Currently these implementations are in the spring-xd-dirt module, but they should be moved into spring-integration-redis. We are already depending upon Spring Integration 3.0 snapshots since the ChannelRegistry implementation is not yet at a milestone, so this should be okay for the Redis Channel Adapters also - until Spring Integration M2 is released.""""""",3
XD,"""Remove the expiry of keys in Redis based repositories""","""""""There is duplicated code in Redis based repositories that related to expiry behavior, move into a common shared helper class and/or base class.""""""",1
XD,"""Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence""","""""""RedisCounterRepository and RedisGaugeRepository have duplicated code that needs to be factored out into a one place.  One such duplication is the determination of the key name to use for persistence.  This should be abstracted out into a strategy helper class.""""""",1
XD,"""Metric repositories should support Spring Data CrudRepository interface""","""""""This provides common CRUD behavior and a shared interface that can be useful in testing scenarios.  """"""",5
XD,"""Build script that creates an executable server as an artifact""","""""""Gradle application plugin is a good starting point.  this should be the main server that would host SI based modules to do syslog->file ingestion (as an example)""""""",2
XD,"""Gradle based multi-project build""","""""""multi project build. - look to Spring Framework for source of starting point.""""""",2
XD,"""Create CI process for XD build""","""""""bamboo based""""""",1
XD,"""Create field-value counters""","""""""A field-value counter is useful for bar chart graphs, Strings on x-axis and count on y-axis.  Maps well to zset in redis. Implementations for in-memory and redis.""""""",5
XD,"""Create a simple counter service""","""""""A simple counters can increment/decrement a number.  Implementations for in-memory and redis.""""""",1
XD,"""Create rich gauge service""","""""""A rich gauge stores a number and also rmd, min, max. Implementations for in-memory and redis.""""""",5
XD,"""Create simple gague service""","""""""A gauge just stores a number.  Implementations for in-memory and redis.""""""",1
XD,"""Create pipes and filters DSL for ingestion""","""""""Initial simple handcoded implementation for straight through pipe and filter model, e.g. a | b | c""""""",2
XD,"""Design for deploying XD on EC2""","""""""create enough of a design to develop additional stories.""""""",3
XD,"""Reactor based http ingestion""","""""""When there is support for boostrapping a http server in the reactor project, and inbound SI adapter and associated XD source module should be created.""""""",5
XD,"""Syslog Ingestion""","""""""Have a syslog.xml config file that can be added to a module and registered with a module registry.""""""",1
XD,"""Tuple data structure""","""""""The tuple data structure should be backward compatible in functionality for use in spring batch.  Porting over FieldSet tests in spring batch to use the tuple data structure is one way help ensure that compatibility.""""""",1
XD,"""HDFS Core writing helper classes""","""""""Simple file writer that has existed in the spring hadoop samples.""""""",1
XD,"""HDFS ItemWriter""","""""""Base integration of core HDFS writer functionality with Spring Batch.""""""",1
